id,user_id,started_at,ended_at,duration_seconds,start_photo_url,end_photo_url,start_latitude,start_longitude,end_latitude,end_longitude,exp_earned,is_tutorial,is_paused,paused_at,paused_ms,location_consistent,conducted_by_user_id,conductor_nickname
34b33d28-8ed6-4966-858b-676db1b41769,86453042-6d66-489f-af76-267923921d04,2026-07-15 17:51:26.785,2026-07-15 17:53:45.906,139,,,,,,,0.1,true,false,,0,,17080e87-4481-4f04-88df-6e3302da957b,powerful
6f333612-a772-477c-bac6-403c57084106,86453042-6d66-489f-af76-267923921d04,2026-07-15 16:57:29.691,2026-07-15 17:03:29.009,359,,,22.30672468,114.25699125,22.30670728,114.25693457,0.0,false,false,,0,true,,
a3964a24-11c8-460c-a43d-83125f251c8a,86453042-6d66-489f-af76-267923921d04,2026-07-15 12:47:17.769,2026-07-15 12:47:24.473,6,,,,,,,0.0,true,false,,0,,17080e87-4481-4f04-88df-6e3302da957b,powerful
dfc0df09-9d55-4eff-b892-bcc714a2741b,86453042-6d66-489f-af76-267923921d04,2026-07-15 17:57:43.291,2026-07-15 18:07:32.967,589,,,22.30686660,114.25675000,22.30669843,114.25694658,0.1,false,false,,0,true,,
